model_name,model_path,trained_model_path,size_mb,parameters,training_time_hours,default_map50,default_map50_95,default_precision,default_recall,best_confidence,optimized_map50,optimized_map50_95,optimized_precision,optimized_recall,map50_improvement,map50_95_improvement,precision_improvement,recall_improvement,avg_inference_time,fps,total_inference_time_yolo,fps_yolo,confidence_results,completed_at,part
yolov5n,yolov5nu.pt,yolo_litter_detection_part1/yolov5n/weights/best.pt,5.305060386657715,2654816,0.820923989812533,0.4882298953629431,0.3250816450725238,0.7222970127555963,0.4249471458773784,0.5,0.6014829159789069,0.4567377709359036,0.7861771058315334,0.38477801268498946,0.11325302061596382,0.13165612586337982,0.06388009307593712,-0.04016913319238896,0.0668037223815918,14.969225730983466,0.01166292160261392,85.7418093058156,"[{'confidence': 0.001, 'mAP50': 0.5275591859782697, 'mAP50_95': 0.3439294455183338}, {'confidence': 0.1, 'mAP50': 0.5667460371976458, 'mAP50_95': 0.39303983431705924}, {'confidence': 0.2, 'mAP50': 0.5799091999735482, 'mAP50_95': 0.4118112824909132}, {'confidence': 0.3, 'mAP50': 0.5950787650998509, 'mAP50_95': 0.4337174420130818}, {'confidence': 0.4, 'mAP50': 0.6044302171269414, 'mAP50_95': 0.44729602889686826}, {'confidence': 0.5, 'mAP50': 0.61454055921678, 'mAP50_95': 0.46329977425900354}, {'confidence': 0.6, 'mAP50': 0.5974622436039886, 'mAP50_95': 0.46413207050500827}, {'confidence': 0.7, 'mAP50': 0.5995450789054457, 'mAP50_95': 0.48119683018322734}, {'confidence': 0.8, 'mAP50': 0.5788243767645824, 'mAP50_95': 0.4855912229699503}, {'confidence': 0.9, 'mAP50': 0.5163870967741937, 'mAP50_95': 0.47444569208169823}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-12T15:34:12.562636,1
yolov5s,yolov5su.pt,yolo_litter_detection_part1/yolov5s/weights/best.pt,17.720465660095215,9153152,1.0400207143359714,0.5080047261279286,0.3272481303547144,0.7164836787252362,0.44714587737843553,0.4,0.6125337387695943,0.4415491142084974,0.7367491166077739,0.4408033826638478,0.1045290126416657,0.11430098385378301,0.02026543788253765,-0.006342494714587754,0.08344372510910034,11.984124614433595,0.012272556331090107,81.48261641844712,"[{'confidence': 0.001, 'mAP50': 0.521356254373825, 'mAP50_95': 0.33559416479616816}, {'confidence': 0.1, 'mAP50': 0.5649645033654265, 'mAP50_95': 0.38544263936927997}, {'confidence': 0.2, 'mAP50': 0.5850062757004934, 'mAP50_95': 0.40710189317687345}, {'confidence': 0.3, 'mAP50': 0.5967483243788374, 'mAP50_95': 0.4206088385949685}, {'confidence': 0.4, 'mAP50': 0.5983876954116167, 'mAP50_95': 0.4280886361006357}, {'confidence': 0.5, 'mAP50': 0.5969984253460303, 'mAP50_95': 0.43798785227394693}, {'confidence': 0.6, 'mAP50': 0.5925357695564837, 'mAP50_95': 0.44530449639653213}, {'confidence': 0.7, 'mAP50': 0.5937220232086398, 'mAP50_95': 0.4590612896614398}, {'confidence': 0.8, 'mAP50': 0.5631087946102911, 'mAP50_95': 0.4683464216464251}, {'confidence': 0.9, 'mAP50': 0.5055140625, 'mAP50_95': 0.4551532165567792}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-12T16:40:12.240482,1
yolov5n6u,yolov5n6u.pt,yolo_litter_detection_part1/yolov5n6u/weights/best.pt,8.652765274047852,4334896,1.7475581271118588,0.5440886908274585,0.33701568880889077,0.7000461405717346,0.4894291754756871,0.3,0.6202795710904301,0.42366590689394307,0.7039877300613497,0.48520084566596194,0.0761908802629716,0.0866502180850523,0.003941589489615094,-0.004228329809725151,0.08972716569900513,11.144896779137733,0.0201280147681872,49.68199852379498,"[{'confidence': 0.001, 'mAP50': 0.5666583560171659, 'mAP50_95': 0.3502517775568941}, {'confidence': 0.1, 'mAP50': 0.5980670926941921, 'mAP50_95': 0.3881601540318431}, {'confidence': 0.2, 'mAP50': 0.6170907460445693, 'mAP50_95': 0.4108135676041729}, {'confidence': 0.3, 'mAP50': 0.6294328353213064, 'mAP50_95': 0.42598817585789484}, {'confidence': 0.4, 'mAP50': 0.6207567671531632, 'mAP50_95': 0.4258055038187501}, {'confidence': 0.5, 'mAP50': 0.6244078929204674, 'mAP50_95': 0.43594919973069074}, {'confidence': 0.6, 'mAP50': 0.6104819491618296, 'mAP50_95': 0.43774461591749914}, {'confidence': 0.7, 'mAP50': 0.6004654219191217, 'mAP50_95': 0.44316779398748685}, {'confidence': 0.8, 'mAP50': 0.5818406108989933, 'mAP50_95': 0.43861138248493925}, {'confidence': 0.9, 'mAP50': 0.5021951219512195, 'mAP50_95': 0.40175609756097563}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-12T18:28:51.673305,1
yolov5s6u,yolov5s6u.pt,yolo_litter_detection_part1/yolov5s6u/weights/best.pt,29.61516761779785,15309328,2.3446681702136996,0.5602779355375739,0.3519056587826551,0.7187632731039928,0.5010570824524313,0.4,0.640706972930847,0.4424161543136124,0.755,0.4788583509513742,0.08042903739327312,0.0905104955309573,0.03623672689600721,-0.022198731501057112,0.08954620122909546,11.167419569721277,0.03056054452978867,32.72193003711885,"[{'confidence': 0.001, 'mAP50': 0.5815850573399076, 'mAP50_95': 0.3684261478309616}, {'confidence': 0.1, 'mAP50': 0.6146813821564903, 'mAP50_95': 0.4061955867519854}, {'confidence': 0.2, 'mAP50': 0.621644088411675, 'mAP50_95': 0.4199350008736844}, {'confidence': 0.3, 'mAP50': 0.6383149931173691, 'mAP50_95': 0.43788978769483816}, {'confidence': 0.4, 'mAP50': 0.6410116095147274, 'mAP50_95': 0.4455242954425322}, {'confidence': 0.5, 'mAP50': 0.6279974918986347, 'mAP50_95': 0.4443612510215472}, {'confidence': 0.6, 'mAP50': 0.6132464884426131, 'mAP50_95': 0.44539382177583386}, {'confidence': 0.7, 'mAP50': 0.6070637866706188, 'mAP50_95': 0.44408893529459226}, {'confidence': 0.8, 'mAP50': 0.5729874224565756, 'mAP50_95': 0.43811499776178503}, {'confidence': 0.9, 'mAP50': 0.5055140625, 'mAP50_95': 0.4046456486280488}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-12T20:54:23.673761,1
yolov8n,yolov8n.pt,yolo_litter_detection_part1/yolov8n/weights/best.pt,6.246372222900391,3157200,0.9907608682579464,0.4854060662567825,0.3289629383332274,0.7063761677976172,0.4429175475687104,0.5,0.6010467235453182,0.45610618292808913,0.7397769516728625,0.42071881606765327,0.11564065728853568,0.12714324459486176,0.033400783875245255,-0.022198731501057112,0.06894463062286377,14.504392741911,0.009342827192001356,107.03398226782218,"[{'confidence': 0.001, 'mAP50': 0.5249641781564646, 'mAP50_95': 0.34593112330773107}, {'confidence': 0.1, 'mAP50': 0.5646840153085798, 'mAP50_95': 0.3948307740335784}, {'confidence': 0.2, 'mAP50': 0.5759140097053363, 'mAP50_95': 0.4125609739235599}, {'confidence': 0.3, 'mAP50': 0.5847896094289688, 'mAP50_95': 0.428063060017415}, {'confidence': 0.4, 'mAP50': 0.5943162685287975, 'mAP50_95': 0.4414166139757557}, {'confidence': 0.5, 'mAP50': 0.5995872517598142, 'mAP50_95': 0.45303419349751106}, {'confidence': 0.6, 'mAP50': 0.5856833115387471, 'mAP50_95': 0.459744019472536}, {'confidence': 0.7, 'mAP50': 0.590980995295241, 'mAP50_95': 0.4716876563574918}, {'confidence': 0.8, 'mAP50': 0.5910779337407317, 'mAP50_95': 0.4835049306942342}, {'confidence': 0.9, 'mAP50': 0.5342092417061611, 'mAP50_95': 0.4737758762925295}, {'confidence': 0.95, 'mAP50': 0.5021951219512195, 'mAP50_95': 0.4772803663932657}]",2025-07-12T21:57:01.082726,1
yolov8s,yolov8s.pt,yolo_litter_detection_part1/yolov8s/weights/best.pt,21.54233169555664,11166560,0.9973077323039373,0.5157949979570697,0.35665578773605794,0.6687165252993735,0.48414376321353064,0.6,0.6209786776132382,0.486002722387057,0.8118393234672304,0.4059196617336152,0.10518367965616848,0.12934693465099906,0.1431227981678569,-0.07822410147991543,0.06502820730209351,15.377941996069852,0.010856922569443565,92.10713197996508,"[{'confidence': 0.001, 'mAP50': 0.5519341471613187, 'mAP50_95': 0.3771518533183114}, {'confidence': 0.1, 'mAP50': 0.5785585341779496, 'mAP50_95': 0.41432519460199513}, {'confidence': 0.2, 'mAP50': 0.5935994162216913, 'mAP50_95': 0.43299843764399804}, {'confidence': 0.3, 'mAP50': 0.5987614663196472, 'mAP50_95': 0.44422702260572616}, {'confidence': 0.4, 'mAP50': 0.6067510022973273, 'mAP50_95': 0.45643473513479}, {'confidence': 0.5, 'mAP50': 0.6156327187175982, 'mAP50_95': 0.4708287051399166}, {'confidence': 0.6, 'mAP50': 0.6171088601516892, 'mAP50_95': 0.48090170172611985}, {'confidence': 0.7, 'mAP50': 0.6054517462151424, 'mAP50_95': 0.4876013349143308}, {'confidence': 0.8, 'mAP50': 0.5907168673391674, 'mAP50_95': 0.4955460589513668}, {'confidence': 0.9, 'mAP50': 0.5124850352112676, 'mAP50_95': 0.46454738979184607}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-12T23:00:20.672309,1
yolov9t,yolov9t.pt,yolo_litter_detection_part2/yolov9t/weights/best.pt,4.7395734786987305,2128720,0.8541741789049573,0.44514314501881547,0.29478745392036343,0.643557410317367,0.40939807786926374,0.7,0.5836511766801699,0.46956344860617116,0.89198606271777,0.26750261233019856,0.1385080316613544,0.17477599468580773,0.24842865240040302,-0.14189546553906518,0.08472777366638183,11.802505326500496,0.009454410364219408,105.77074206388797,"[{'confidence': 0.001, 'mAP50': 0.5217959481919836, 'mAP50_95': 0.3667674854515488}, {'confidence': 0.1, 'mAP50': 0.5776760306448394, 'mAP50_95': 0.43107990619605435}, {'confidence': 0.2, 'mAP50': 0.5959920449818192, 'mAP50_95': 0.4542694154268278}, {'confidence': 0.3, 'mAP50': 0.6156218565999654, 'mAP50_95': 0.47461742875694163}, {'confidence': 0.4, 'mAP50': 0.6200486465512136, 'mAP50_95': 0.47945713537861784}, {'confidence': 0.5, 'mAP50': 0.6222849709525091, 'mAP50_95': 0.49009866082933523}, {'confidence': 0.6, 'mAP50': 0.622331409435489, 'mAP50_95': 0.4988253656534355}, {'confidence': 0.7, 'mAP50': 0.6239936229066314, 'mAP50_95': 0.513490835226449}, {'confidence': 0.8, 'mAP50': 0.600679978619425, 'mAP50_95': 0.5059807088987474}, {'confidence': 0.9, 'mAP50': 0.5428437500000001, 'mAP50_95': 0.49390438952597016}, {'confidence': 0.95, 'mAP50': 0.5035611510791368, 'mAP50_95': 0.45320503597122314}]",2025-07-13T00:25:33.536276,2
yolov9s,yolov9s.pt,yolo_litter_detection_part2/yolov9s/weights/best.pt,14.67634105682373,7318368,1.0399564300643074,0.4698395607861846,0.3129954845942889,0.6658317108124171,0.41901776384535006,0.5,0.5813987328806222,0.43647745135273786,0.7208413001912046,0.3939393939393939,0.11155917209443755,0.12348196675844897,0.05500958937878753,-0.025078369905956133,0.08734967708587646,11.448239230659842,0.011523340284802785,86.78039312254107,"[{'confidence': 0.001, 'mAP50': 0.5500309092006231, 'mAP50_95': 0.39222563479341344}, {'confidence': 0.1, 'mAP50': 0.5932277775697835, 'mAP50_95': 0.44477001315739784}, {'confidence': 0.2, 'mAP50': 0.6117490117141777, 'mAP50_95': 0.4667024901537971}, {'confidence': 0.3, 'mAP50': 0.6290380554452669, 'mAP50_95': 0.4844473327739875}, {'confidence': 0.4, 'mAP50': 0.6432189909433024, 'mAP50_95': 0.4998668476126114}, {'confidence': 0.5, 'mAP50': 0.6507985953639517, 'mAP50_95': 0.5130461971097002}, {'confidence': 0.6, 'mAP50': 0.6480026840422924, 'mAP50_95': 0.5238902575011707}, {'confidence': 0.7, 'mAP50': 0.6291342415112612, 'mAP50_95': 0.5247183246697518}, {'confidence': 0.8, 'mAP50': 0.6144439793587981, 'mAP50_95': 0.5279223661091017}, {'confidence': 0.9, 'mAP50': 0.5237466416744767, 'mAP50_95': 0.48031731730394983}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-13T01:31:49.222674,2
yolov10n,yolov10n.pt,yolo_litter_detection_part2/yolov10n/weights/best.pt,5.588896751403809,2775520,0.9744401006566153,0.4370844178102431,0.25473805732308963,0.6883295318729011,0.38308701098911235,0.3,0.5646828932788611,0.37276681251108834,0.7522321428571429,0.35214211076280044,0.12759847546861802,0.11802875518799871,0.06390261098424177,-0.03094490022631191,0.07689748048782348,13.004327237461927,0.007244354529834497,138.03852308465716,"[{'confidence': 0.001, 'mAP50': 0.49783278688422833, 'mAP50_95': 0.2990691120275088}, {'confidence': 0.1, 'mAP50': 0.5674753090331746, 'mAP50_95': 0.36950022192624654}, {'confidence': 0.2, 'mAP50': 0.5883609054929515, 'mAP50_95': 0.3896302276858703}, {'confidence': 0.3, 'mAP50': 0.5985729682121155, 'mAP50_95': 0.4043160669273639}, {'confidence': 0.4, 'mAP50': 0.5944168601597036, 'mAP50_95': 0.41035369119720955}, {'confidence': 0.5, 'mAP50': 0.5822505038048162, 'mAP50_95': 0.4084895127904735}, {'confidence': 0.6, 'mAP50': 0.5792215609256035, 'mAP50_95': 0.41074826092626393}, {'confidence': 0.7, 'mAP50': 0.5688080004424817, 'mAP50_95': 0.4153043247823228}, {'confidence': 0.8, 'mAP50': 0.5598960136154102, 'mAP50_95': 0.41463863352933494}, {'confidence': 0.9, 'mAP50': 0.5345191815856778, 'mAP50_95': 0.426662752210607}, {'confidence': 0.95, 'mAP50': 0.5071304347826088, 'mAP50_95': 0.39714496844427066}]",2025-07-13T02:33:42.779566,2
yolov10s,yolov10s.pt,yolo_litter_detection_part2/yolov10s/weights/best.pt,15.853034019470215,8128272,1.0247963305976655,0.4474852086927287,0.2916830854709989,0.6755984043746649,0.4012539184952978,0.5,0.5735738818702115,0.4273307261009379,0.777262180974478,0.3500522466039707,0.12608867317748285,0.135647640629939,0.10166377659981307,-0.05120167189132707,0.06713176250457764,14.8960784387541,0.01082444291396856,92.38350721121503,"[{'confidence': 0.001, 'mAP50': 0.49970436215119957, 'mAP50_95': 0.34071402820729524}, {'confidence': 0.1, 'mAP50': 0.5492981244721294, 'mAP50_95': 0.3983891124564298}, {'confidence': 0.2, 'mAP50': 0.5647582212224883, 'mAP50_95': 0.4210627230281177}, {'confidence': 0.3, 'mAP50': 0.5897129036825436, 'mAP50_95': 0.4474933646104051}, {'confidence': 0.4, 'mAP50': 0.5935136429110323, 'mAP50_95': 0.4575251162633108}, {'confidence': 0.5, 'mAP50': 0.6074663981920172, 'mAP50_95': 0.4735401463134165}, {'confidence': 0.6, 'mAP50': 0.6055517744891981, 'mAP50_95': 0.48233786690821134}, {'confidence': 0.7, 'mAP50': 0.5906138051433236, 'mAP50_95': 0.48015896595861074}, {'confidence': 0.8, 'mAP50': 0.5845885435706415, 'mAP50_95': 0.49120616658464983}, {'confidence': 0.9, 'mAP50': 0.5107302823758522, 'mAP50_95': 0.4445529332984943}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-13T03:38:59.094031,2
yolo11n,yolo11n.pt,yolo_litter_detection_part2/yolo11n/weights/best.pt,5.353702545166016,2624080,0.8376979853047265,0.45954304747795927,0.30290136201465384,0.6917737995533593,0.40572252565992106,0.6,0.599131112276102,0.4563592758579758,0.8397932816537468,0.3396029258098224,0.13958806479814279,0.15345791384332197,0.1480194821003875,-0.06611959985009869,0.06448824405670166,15.506702262209904,0.008228705430505311,121.5257987353415,"[{'confidence': 0.001, 'mAP50': 0.5186374132910931, 'mAP50_95': 0.36277959810079663}, {'confidence': 0.1, 'mAP50': 0.5618680300299584, 'mAP50_95': 0.4125173074359644}, {'confidence': 0.2, 'mAP50': 0.5826325840439045, 'mAP50_95': 0.437421711314835}, {'confidence': 0.3, 'mAP50': 0.6054076696916109, 'mAP50_95': 0.4612825737930182}, {'confidence': 0.4, 'mAP50': 0.6193626875311133, 'mAP50_95': 0.4776602351836069}, {'confidence': 0.5, 'mAP50': 0.6232799641959597, 'mAP50_95': 0.48811742261158225}, {'confidence': 0.6, 'mAP50': 0.6258832282947642, 'mAP50_95': 0.49562977361324806}, {'confidence': 0.7, 'mAP50': 0.6250898889183745, 'mAP50_95': 0.502890729373354}, {'confidence': 0.8, 'mAP50': 0.6063627984280733, 'mAP50_95': 0.5073200012702748}, {'confidence': 0.9, 'mAP50': 0.5476052631578948, 'mAP50_95': 0.4883769503562597}, {'confidence': 0.95, 'mAP50': 0.5035611510791368, 'mAP50_95': 0.4868629307080653}]",2025-07-13T04:32:38.666266,2
yolo11s,yolo11s.pt,yolo_litter_detection_part2/yolo11s/weights/best.pt,18.419010162353516,9458752,0.9720661213000615,0.46061473024659805,0.29707930665998383,0.6123716061615215,0.43415385276283364,0.4,0.569604324137724,0.41025962328302407,0.6892857142857143,0.40334378265412746,0.10898959389112595,0.11318031662304023,0.07691410812419275,-0.030810070108706178,0.07844976902008056,12.74701012496331,0.00913974449666069,109.41224892723876,"[{'confidence': 0.001, 'mAP50': 0.5180276248358625, 'mAP50_95': 0.34744791418200593}, {'confidence': 0.1, 'mAP50': 0.5649347473239479, 'mAP50_95': 0.4022304059128439}, {'confidence': 0.2, 'mAP50': 0.5862917471436828, 'mAP50_95': 0.4258366686513605}, {'confidence': 0.3, 'mAP50': 0.605181216501863, 'mAP50_95': 0.4470638398886783}, {'confidence': 0.4, 'mAP50': 0.6250752562906388, 'mAP50_95': 0.4668049611695979}, {'confidence': 0.5, 'mAP50': 0.6240766584451016, 'mAP50_95': 0.4720211045214014}, {'confidence': 0.6, 'mAP50': 0.6159165440313734, 'mAP50_95': 0.4751643613101912}, {'confidence': 0.7, 'mAP50': 0.6057849046439057, 'mAP50_95': 0.47565276271273405}, {'confidence': 0.8, 'mAP50': 0.5785320515077851, 'mAP50_95': 0.47291522329833346}, {'confidence': 0.9, 'mAP50': 0.5035611510791368, 'mAP50_95': 0.45320503597122314}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-13T05:34:53.868582,2
yolo12n,yolo12n.pt,yolo_litter_detection_part2/yolo12n/weights/best.pt,5.335867881774902,2603056,0.9665844813982646,0.4527336791664769,0.29978370858133513,0.6389052754835217,0.4179728317659352,0.6,0.58089950587271,0.45492065327920655,0.8371428571428572,0.30616509926854757,0.1281658267062331,0.15513694469787143,0.19823758165933547,-0.11180773249738762,0.0836743688583374,11.951091040710718,0.010450487258322328,95.68931814195,"[{'confidence': 0.001, 'mAP50': 0.5065092002826049, 'mAP50_95': 0.3608169645695766}, {'confidence': 0.1, 'mAP50': 0.5588387930831996, 'mAP50_95': 0.4246441684323847}, {'confidence': 0.2, 'mAP50': 0.5812135691053094, 'mAP50_95': 0.453489959961389}, {'confidence': 0.3, 'mAP50': 0.6016095565358159, 'mAP50_95': 0.4747874953798409}, {'confidence': 0.4, 'mAP50': 0.6128828589810855, 'mAP50_95': 0.49036681957605566}, {'confidence': 0.5, 'mAP50': 0.6207234426026718, 'mAP50_95': 0.5008035335511077}, {'confidence': 0.6, 'mAP50': 0.6221364742835042, 'mAP50_95': 0.5072922781760176}, {'confidence': 0.7, 'mAP50': 0.6169396773103084, 'mAP50_95': 0.5110166088209877}, {'confidence': 0.8, 'mAP50': 0.5826091416220879, 'mAP50_95': 0.49724920537409717}, {'confidence': 0.9, 'mAP50': 0.5399132181174356, 'mAP50_95': 0.4855903341314273}, {'confidence': 0.95, 'mAP50': 0.5059445783132528, 'mAP50_95': 0.4856387895466757}]",2025-07-13T06:36:23.266110,2
yolo12s,yolo12s.pt,yolo_litter_detection_part2/yolo12s/weights/best.pt,18.125967979431152,9285632,1.0263876489135955,0.46363846671185177,0.31759022490418054,0.6087005285283813,0.4340043534597865,0.5,0.56344788140207,0.44154354744167285,0.7122736418511066,0.36990595611285265,0.09980941469021826,0.1239533225374923,0.10357311332272534,-0.06409839734693384,0.08307272911071778,12.037644732571849,0.011810772370744424,84.66846778598703,"[{'confidence': 0.001, 'mAP50': 0.5340596855902581, 'mAP50_95': 0.38057060275667987}, {'confidence': 0.1, 'mAP50': 0.5709206294195439, 'mAP50_95': 0.4277426884554732}, {'confidence': 0.2, 'mAP50': 0.5908030811080739, 'mAP50_95': 0.4528407419703596}, {'confidence': 0.3, 'mAP50': 0.6021786967418258, 'mAP50_95': 0.4696022024118668}, {'confidence': 0.4, 'mAP50': 0.6014000881015277, 'mAP50_95': 0.4795044873188442}, {'confidence': 0.5, 'mAP50': 0.6118668748139768, 'mAP50_95': 0.4955685780339446}, {'confidence': 0.6, 'mAP50': 0.6088973591545712, 'mAP50_95': 0.5009841715407808}, {'confidence': 0.7, 'mAP50': 0.5982086905953705, 'mAP50_95': 0.5046076457761091}, {'confidence': 0.8, 'mAP50': 0.5874825194591519, 'mAP50_95': 0.5152005035482076}, {'confidence': 0.9, 'mAP50': 0.5285606060606061, 'mAP50_95': 0.5021404800085164}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-13T07:41:56.977795,2
